Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: EGFP area µm^2	Fibers: DsRed area µm^2	ID	Side	Parent ID	Area µm^2	Perimeter µm
animalid1-SC_s2.ome.tiff	ce1ef5e9-85b7-4d0e-9f90-821951cf02c8	Annotation	5SpM	Right: 5SpM	DH	Polygon	1145.1	725.74	452.385	34.02	9	0	90	31886.1	1090.4
animalid1-SC_s2.ome.tiff	8df03791-5f7a-4454-81d9-76c4797608a5	Annotation	C	Right: C	GM	Polygon	1370.9	923.58	1520.37	124.74	100	0	71	40077.5	969.4
animalid1-SC_s2.ome.tiff	6e2b5262-bec1-49c1-a65e-f7ad3842101d	Annotation	10Sp	Right: 10Sp	C	Polygon	1369.3	922.39	1466.505	124.1325	14	0	100	38655.1	1151.8
animalid1-SC_s2.ome.tiff	11f3a112-75ab-4d79-bd91-b04f50891a70	Annotation	CC	Right: CC	C	Polygon	1412.2	948.81	53.865	0	16	0	100	1422.6	242.45
animalid1-SC_s2.ome.tiff	8066155b-3071-4dcc-a7da-3defc457d0ef	Annotation	VH	Right: VH	GM	Geometry	1014	1125.1	13796.3252	802.5075	110	0	71	375642	2837
animalid1-SC_s2.ome.tiff	6c4aa715-3f54-49e3-910a-fcda6afeb878	Annotation	7Sp	Right: 7Sp	VH	Polygon	985.12	1012.4	7240.5898	345.87	18	0	110	190454.9	1974.2
animalid1-SC_s2.ome.tiff	05aa412b-531e-41a5-89aa-40d0c17a2506	Annotation	CeCv	Right: CeCv	VH	Polygon	1232.7	803.62	228.015	30.78	19	0	110	21012.3	563.18
animalid1-SC_s2.ome.tiff	7f68fd9b-472d-4107-85ee-8fb70e770461	Annotation	IMM	Right: IMM	VH	Polygon	1306	708.52	31.995	3.8475	22	0	110	6228.4	307.55
animalid1-SC_s2.ome.tiff	b67fb0c1-7871-481a-9315-8e23f8039414	Annotation	IMM4	Right: IMM4	IMM	Polygon	1323.2	690.58	9.1125	0	224	0	22	1070.6	209.8
animalid1-SC_s2.ome.tiff	acdd8c7b-926f-4463-b99d-f93f53a9334a	Annotation	IMM5	Right: IMM5	IMM	Polygon	1302.4	712.24	22.8825	3.8475	225	0	22	5157.9	305.48
animalid1-SC_s2.ome.tiff	1a9e0e4b-52f4-4669-897e-af9ee77f0833	Annotation	8Sp	Right: 8Sp	VH	Polygon	1005.2	1285.5	4924.5977	278.235	26	0	110	103931.9	2058.9
animalid1-SC_s2.ome.tiff	843ed511-c5d2-4cbc-8469-87cce3a49403	Annotation	MN	Right: MN	VH	Geometry	1014	1387.3	1371.1274	143.775	120	0	110	54014.5	1662.3
animalid1-SC_s2.ome.tiff	26e1d22e-b051-40c6-8a30-7d2cfb9091cf	Annotation	Ax9	Right: Ax9	MN	Polygon	1224.8	1209.5	719.4825	29.97	29	0	120	9925.9	436.79
animalid1-SC_s2.ome.tiff	f1bf82c6-1473-4aec-8f76-f638e8019339	Annotation	IH9	Right: IH9	MN	Polygon	1030.1	1472.4	238.7475	76.3425	42	0	120	28602.4	651.25
animalid1-SC_s2.ome.tiff	29f2cf91-1ffc-4b89-998f-2f3a096131d8	Annotation	Ph9	Right: Ph9	MN	Polygon	954.44	1388.6	41.5125	3.24	48	0	120	4091	244.15
animalid1-SC_s2.ome.tiff	e1f49a01-411f-40b1-bd27-6cc341e80735	Annotation	TzSM9	Right: TzSM9	MN	Polygon	811.23	1327.8	371.385	34.2225	60	0	120	11395.2	412
animalid1-SC_s2.ome.tiff	80e61367-4961-4540-8f6c-76f275ef0b5e	Annotation	root	Left: root	Root	Polygon	1939.2	1065.9	68145.9062	8319.7129	250	0		1604692.6	4914.6
animalid1-SC_s2.ome.tiff	6a408057-58cb-493d-9cb8-a52e21aa6472	Annotation	WM	Left: WM	root	Geometry	2005.8	1181.2	28539.5391	3993.3	130	0	250	910827.4	7916.9
animalid1-SC_s2.ome.tiff	5bcce400-30d0-4d7a-b469-d3fec13045c4	Annotation	vf	Left: vf	WM	Polygon	1717.7	1601.3	14338.6201	1661.715	70	0	130	308492.1	2861.3
animalid1-SC_s2.ome.tiff	53e07b20-d1e5-4651-a1a9-c929e9cbe9d0	Annotation	df	Left: df	WM	Polygon	1598.9	412.67	859.815	223.155	74	0	130	134135.1	1557.5
animalid1-SC_s2.ome.tiff	c2905b81-7916-4be1-9db4-3d048136733f	Annotation	psdc	Left: psdc	df	Polygon	1539.3	373.32	113.1975	22.8825	64	0	74	15166.2	809.23
animalid1-SC_s2.ome.tiff	80fc15f5-a58a-4330-a163-cc9b80d3eba8	Annotation	cu	Left: cu	df	Geometry	1683.5	389.39	425.25	83.835	61	0	74	65148.7	1140.4
animalid1-SC_s2.ome.tiff	0b928bd0-7cad-4e56-a61d-40936fa1e5ab	Annotation	dcs	Left: dcs	df	Polygon	1523	583.95	124.74	28.35	62	0	74	28745.5	679.01
animalid1-SC_s2.ome.tiff	b1542d21-e35c-49ea-8c6f-30fb049ce493	Annotation	gr	Left: gr	df	Polygon	1501.9	299.32	195.21	87.885	63	0	74	25054.4	742.99
animalid1-SC_s2.ome.tiff	87515aff-672e-40fe-92f7-981dc60e6c65	Annotation	lfc	Left: lfc	WM	Geometry	2311.9	1124.7	13363.9873	2111.6699	75	0	130	468433.7	4392.9
animalid1-SC_s2.ome.tiff	b5626f98-7000-4d0d-b6bb-e2de51542f08	Annotation	lf	Left: lf	lfc	Polygon	2303.9	1271.6	9255.0596	1232.6176	65	0	75	328326.8	2583.1
animalid1-SC_s2.ome.tiff	d33ececb-1e78-4203-b8b7-1ea6e27c8cb7	Annotation	dl	Left: dl	lfc	Geometry	2150.5	426.42	696.3975	149.04	66	0	75	22427.7	1637.4
animalid1-SC_s2.ome.tiff	d1ecdbe5-8e85-4d3d-9c7a-efbc8d0661d4	Annotation	LatC	Left: LatC	lfc	Polygon	2475.8	801.08	751.4775	257.3775	67	0	75	29605.9	705.23
animalid1-SC_s2.ome.tiff	b6b518bd-e642-4b5a-9556-6517c384b5e0	Annotation	LSp	Left: LSp	lfc	Polygon	2206.2	793.43	2005.155	227.8125	68	0	75	50268.7	1031.6
