Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cells: marker+ Count	Cells: marker- Count	ID	Side	Parent ID	Num Detections	Num Cells: marker+	Num Cells: marker-	Area µm^2	Perimeter µm
animalid0_034.ome.tiff	486e925a-4ed6-43ef-8ac0-b57676149a88	Annotation	LC	Left: LC	P-sat	Polygon	4382.9	4013.8	0	2	147	0	1117	2	0	2	34166.9	933.2
animalid0_034.ome.tiff	5c78ce95-330e-44ec-ab86-e9e8c5a44d83	Annotation	NI	Left: NI	P-sat	Polygon	5265	4671.6	0	23	604	0	1117	23	0	23	165887.3	1851.3
animalid0_034.ome.tiff	014dfad0-033d-47a0-a204-46ecdf1ebd50	Annotation	SLC	Left: SLC	P-sat	Polygon	4433.5	4499.1	0	6	350	0	1117	6	0	6	56224.5	1050.4
animalid0_034.ome.tiff	224fa635-19c2-437b-b2f3-cca2989f5c3b	Annotation	SLD	Left: SLD	P-sat	Polygon	4648.3	4535.9	0	12	358	0	1117	12	0	12	89681.2	1127.7
animalid0_034.ome.tiff	fd92cbca-025e-468d-9e47-9575f1af8491	Annotation	RPO	Left: RPO	P-sat	Polygon	5448.7	4981.5	0	12	238	0	1117	12	0	12	37603.4	743.98
animalid0_034.ome.tiff	9ba1fb5d-7a80-4ef3-9604-2f67005db08f	Annotation	P-sen	Left: P-sen	P	Geometry	4037.9	4993.4	0	0	1132	0	771	35	1	34	731810.3	8990.5
animalid0_034.ome.tiff	c871d74b-ca20-4efd-a6b4-7d1d8ae771fd	Annotation	PSV	Left: PSV	P-sen	Polygon	3819.9	5165.8	0	21	7	0	1132	21	0	21	287719.3	2895.3
animalid0_034.ome.tiff	e20ae09a-eefb-4756-b084-f09bd1ababd9	Annotation	SOC	Left: SOC	P-sen	Polygon	4374.6	5992.4	0	0	398	0	1132	8	1	7	187328.6	2099.1
animalid0_034.ome.tiff	b2a6c855-7fc4-44b9-9058-f4676dc05992	Annotation	SOCm	Left: SOCm	SOC	Polygon	4510.1	5948.3	0	0	105	0	398	0	0	0	48497.9	853.99
animalid0_034.ome.tiff	ed8f0208-1963-4266-b9a8-0ec9a18c8ece	Annotation	SOCl	Left: SOCl	SOC	Polygon	4237.2	5934.1	0	3	114	0	398	3	0	3	81832.1	1313.3
animalid0_034.ome.tiff	a6facfb0-f4be-45f7-8f84-947c7035833c	Annotation	POR	Left: POR	SOC	Polygon	4456.3	6113.5	1	4	122	0	398	5	1	4	56998.7	1153.1
animalid0_034.ome.tiff	cbbc2618-7513-4181-9cab-bf4565cd0018	Annotation	PB	Left: PB	P-sen	Geometry	4036.7	4071.3	0	6	867	0	1132	6	0	6	256762.4	4487.6
animalid0_034.ome.tiff	8e5c3c8e-725a-4cc6-9048-7737a12ddc94	Annotation	KF	Left: KF	PB	Polygon	3685.8	4481.5	0	0	123	0	867	0	0	0	66593.2	1027.6
animalid0_034.ome.tiff	16eb396d-4031-4a8b-a547-a2aacf963d7f	Annotation	MY	Left: MY	HB	Geometry	3932.6	4968.3	0	2	354	0	1065	20	3	17	667144.4	10443.2
animalid0_034.ome.tiff	9725f36c-2bb2-4b66-ad32-0bbbf7c63d2a	Annotation	MY-sen	Left: MY-sen	MY	Geometry	3642.3	5216.4	0	0	386	0	354	6	0	6	284831.5	3569.6
animalid0_034.ome.tiff	ae6a0818-96dc-4bc4-8bfb-7a835b343185	Annotation	NTB	Left: NTB	MY-sen	Polygon	4824.4	5946.2	0	3	642	0	386	3	0	3	47354.3	996.48
animalid0_034.ome.tiff	b3a7c413-dcdf-49db-8ccd-c363595ba4ca	Annotation	CN	Left: CN	MY-sen	Polygon	3406.6	5070.8	0	0	607	0	386	3	0	3	237477.2	2573.1
animalid0_034.ome.tiff	6180b5ac-767b-4247-9825-ceaedbe2fabd	Annotation	VCO	Left: VCO	CN	Polygon	3406.6	5070.8	0	3	101	0	607	3	0	3	237477.2	2573.1
animalid0_034.ome.tiff	3155de37-3b86-4671-8312-ad054a68267c	Annotation	MY-mot	Left: MY-mot	MY	Geometry	4126.9	4331.6	0	0	370	0	354	12	3	9	230281.7	2641.4
animalid0_034.ome.tiff	19c3843d-aaf4-49c4-ab66-5039f24af05f	Annotation	VNC	Left: VNC	MY-mot	Geometry	4126.9	4331.6	0	0	701	0	370	12	3	9	230281.7	2641.4
animalid0_034.ome.tiff	be9cfbdf-0bc3-4343-af86-e69fa135052a	Annotation	MV	Left: MV	VNC	Polygon	4151.5	4364.9	3	9	202	0	701	12	3	9	204229.4	1899.8
animalid0_034.ome.tiff	576fbc14-11fc-4ff7-b3e4-4a5f606571a3	Annotation	SUV	Left: SUV	VNC	Polygon	3934.1	4070.3	0	0	217	0	701	0	0	0	26052.3	741.64
animalid0_034.ome.tiff	1329498c-0431-4d4c-962f-91a52c421b4e	Annotation	MY-sat	Left: MY-sat	MY	Polygon	5396.8	5724.5	0	0	379	0	354	0	0	0	16176.3	671.39
animalid0_034.ome.tiff	a356c83d-f847-46bb-871b-e4334179571d	Annotation	RM	Left: RM	MY-sat	Polygon	5396.8	5724.5	0	0	206	0	379	0	0	0	16176.3	671.39
animalid0_034.ome.tiff	a51e77e6-7875-42a4-89ea-a597efb8c10d	Annotation	MB	Left: MB	BS	Polygon	4361.8	3934	0	0	313	0	343	0	0	0	28.02	32.94
animalid0_034.ome.tiff	3af4287d-3551-4181-a728-fbc02147ac47	Annotation	MBsen	Left: MBsen	MB	Polygon	4361.8	3934	0	0	339	0	313	0	0	0	28.02	32.94
animalid0_034.ome.tiff	4bba3f87-d602-4f46-8b6b-40361a291b52	Annotation	MEV	Left: MEV	MBsen	Polygon	4361.8	3934	0	0	460	0	339	0	0	0	28.02	32.94
animalid0_034.ome.tiff	a282b1ec-4c74-42ad-b36c-77d20d7a1602	Annotation	VS	Left: VS	root	Polygon	5028.8	3741.2	0	0	73	0	997	3	0	3	154981.6	2167.9
animalid0_034.ome.tiff	d72ff1d5-c6fb-47ff-ab0f-696aeb9f398d	Annotation	V4	Left: V4	VS	Polygon	5028.8	3741.2	0	3	145	0	73	3	0	3	154981.6	2167.9
animalid0_034.ome.tiff	1e79eb6e-27e7-4023-af32-9c994fc228df	Annotation	fiber tracts	Left: fiber tracts	root	Geometry	3753.5	3831.1	0	0	1009	0	997	132	6	126	2730058.7	36675.6
animalid0_034.ome.tiff	cb75adaf-8161-4ac2-9738-e3c0e359590b	Annotation	cbf	Left: cbf	fiber tracts	Geometry	3595.5	3466.2	0	0	960	0	1009	112	5	107	2296879.4	27179
animalid0_034.ome.tiff	e75846a0-e0ee-4433-8cf1-f18b532f8b4e	Annotation	arb	Left: arb	cbf	Geometry	3547.9	3393.6	4	100	728	0	960	104	4	100	1971062.9	25902.3
animalid0_034.ome.tiff	63059e03-8b9a-4676-8f75-59d20fcb0417	Annotation	cbp	Left: cbp	cbf	Geometry	3883.5	3905.2	0	0	752	0	960	8	1	7	325650.3	7015.1
animalid0_034.ome.tiff	a695d3ed-5a7e-4851-a196-c1e705013925	Annotation	scp	Left: scp	cbp	Geometry	4045.7	3832.7	1	2	326	0	752	5	1	4	235329.3	5052.4
animalid0_034.ome.tiff	98e74fc9-48c5-4481-80e1-9f96fc88464c	Annotation	uf	Left: uf	scp	Polygon	4038.7	3690.1	0	2	850	0	326	2	0	2	117685.7	2856
animalid0_034.ome.tiff	143614d9-d101-4595-b9a6-7f0bc15969d5	Annotation	sctv	Left: sctv	scp	Polygon	4054.7	6132.7	0	0	866	0	326	0	0	0	8970.7	464.01
animalid0_034.ome.tiff	66a00b9c-a907-467a-9e45-ab7b8dc79c90	Annotation	mcp	Left: mcp	cbp	Polygon	3193	4086.4	0	0	78	0	752	0	0	0	891.52	225.85
animalid0_034.ome.tiff	ee763645-3b5e-446a-bbed-33673dbd7c28	Annotation	icp	Left: icp	cbp	Geometry	3463.8	4094.3	0	3	1123	0	752	3	0	3	89429.5	2082.8
animalid0_034.ome.tiff	a7de777c-0037-492d-8ba8-309f47c7f49c	Annotation	cm	Left: cm	fiber tracts	Geometry	4502.3	5764.1	0	0	967	0	1009	15	1	14	334817.1	7965.8
animalid0_034.ome.tiff	bdf059ad-1a55-486b-b8d2-b86106bcf518	Annotation	Vn	Left: Vn	cm	Polygon	3763.3	5541.6	0	0	901	0	967	6	0	6	115621.9	2306.7
