Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse1_050.ome.tiff	7e59386f-3251-42ea-8824-f4ec8f2b408f	Annotation	eps	Left: eps	fiber tracts	Geometry	4997.6	5021.8	1000.0	1009.0	0.0	2.9649	0.0	0.0	181	40	137	4	54958.1	1626.2
mouse1_050.ome.tiff	ceb2ac34-af46-4f14-bf3b-e6330a4d8d99	Annotation	PRM	Right: PRM	HEM	Geometry	7552.9	2939.8	1025.0	1073.0	0.0	0.0	0.0	0.0	3	2	0	1	514911.0	3442.4
mouse1_050.ome.tiff	2ed14054-2449-4f6e-953a-40dd792cd6af	Annotation	COPY	Left: COPY	HEM	Polygon	3931.8	3191.4	1033.0	1073.0	0.0	0.0	0.0	0.0	1	1	0	0	588343.2	3367.2
mouse1_050.ome.tiff	20376429-f7bc-497d-99df-d4358f4b87ce	Annotation	sctd	Left: sctd	icp	Polygon	3719.6	5333.8	553.0	1123.0	0.0	5.8359	0.0	0.0	0	0	0	0	28095.5	844.14
mouse1_050.ome.tiff	38329b87-7efb-43fa-8abb-9b322d5b2fd4	Annotation	MY-sen	Right: MY-sen	MY	Geometry	6927.2	4108.9	386.0	354.0	0.0	2871.2424	7939.8145	712.7228	173	118	49	6	1222493.1	8214.9
mouse1_050.ome.tiff	5f3bf343-29fd-42d2-88d9-d67d3d891096	Annotation	Xn	Right: Xn	cm	Polygon	5980.2	3881.2	917.0	967.0	0.0	21.0791	97.8723	23.2107	0	0	0	0	4238.3	242.07
mouse1_050.ome.tiff	c662a063-abbb-427f-82ae-4cf43f83a33f	Annotation	VS	Right: VS	root	Polygon	5505.6	4123.7	73.0	997.0	0.0	371.3963	2283.2843	123.2504	1	1	0	0	355.2	75.49
mouse1_050.ome.tiff	8b1151fd-1736-4f31-9469-fac51c64c39b	Annotation	PARN	Left: PARN	MY-mot	Polygon	3907.6	5179.5	852.0	370.0	0.0	0.0	0.0	0.0	3	2	1	0	11801.4	756.14
mouse1_050.ome.tiff	aa0003aa-403d-401d-936b-c7f67dcdc762	Annotation	LRN	Right: LRN	MY-mot	Polygon	6791.8	5097.9	235.0	370.0	0.0	0.0	0.0	0.0	107	74	33	0	205564.0	2252.6
mouse1_050.ome.tiff	f4aa5cf6-43ab-4b21-b779-8f1280afda45	Annotation	CB	Left: CB	grey	Polygon	4383.3	3184.0	512.0	8.0	0.0	11.5684	2.6539	0.0	6	5	0	1	1701780.4	9346.2
mouse1_050.ome.tiff	24025f40-00ce-4f55-80b3-74cecf1a0431	Annotation	DMX	Right: DMX	MY-mot	Polygon	5798.1	3992.1	839.0	370.0	0.0	490.8281	214.2003	7.0251	343	342	1	0	54233.6	1065.4
mouse1_050.ome.tiff	b5c90841-fdac-4cdb-a172-233f917c20c8	Annotation	arb	Right: arb	cbf	Geometry	6110.0	3264.2	728.0	960.0	0.0	17.2809	17.4137	0.0	0	0	0	0	70545.6	2703.6
mouse1_050.ome.tiff	e033076a-54f5-4029-8963-aac9c0ab5f45	Annotation	py	Left: py	cst	Polygon	5131.7	5488.4	190.0	784.0	0.0	1.0952	0.0	0.0	0	0	0	0	59065.6	1003.8
